,Parameter,Parameter,Filepath,KPI,KPI
,deterministic,deterministic,Filepath,min,max
,$Ego_Init_Velocity,_ay_norm,Filepath,D2LL,Car.Jerk
1:,80.0,0.35,sp1_80_0_sp2_0_35.erg,0.4491823291778565,0.7947189264580296
2:,80.0,0.475,sp1_80_0_sp2_0_48.erg,0.2948939180374146,1.0798078338787709
3:,80.0,0.6,sp1_80_0_sp2_0_6.erg,0.1420243358612061,1.364866674919346
4:,80.0,0.725,sp1_80_0_sp2_0_72.erg,0.0,1.6523048972261034
5:,80.0,0.85,sp1_80_0_sp2_0_85.erg,0.0,1.9327266522770725
6:,100.0,0.35,sp1_100_0_sp2_0_35.erg,0.4465621089935303,0.7864357067989602
7:,100.0,0.475,sp1_100_0_sp2_0_48.erg,0.2905490970611573,1.0661994796354213
8:,100.0,0.6,sp1_100_0_sp2_0_6.erg,0.13517516613006597,1.3539395370593788
9:,100.0,0.725,sp1_100_0_sp2_0_72.erg,0.0,1.6178198273289979
10:,100.0,0.85,sp1_100_0_sp2_0_85.erg,0.0,1.9109665715142388
11:,120.0,0.35,sp1_120_0_sp2_0_35.erg,0.4421473121643067,0.7479551724864836
12:,120.0,0.475,sp1_120_0_sp2_0_48.erg,0.2843074178695679,1.0566580610670895
13:,120.0,0.6,sp1_120_0_sp2_0_6.erg,0.12647932529449468,1.332600310285581
14:,120.0,0.725,sp1_120_0_sp2_0_72.erg,0.0,1.618014772490528
15:,120.0,0.85,sp1_120_0_sp2_0_85.erg,0.0,1.887320688726546
16:,140.0,0.35,sp1_140_0_sp2_0_35.erg,0.4335646009445191,0.7438995513679575
17:,140.0,0.475,sp1_140_0_sp2_0_48.erg,0.2725344276428223,1.0458633253334626
18:,140.0,0.6,sp1_140_0_sp2_0_6.erg,0.11159354209899908,1.3224874774487416
19:,140.0,0.725,sp1_140_0_sp2_0_72.erg,0.0,1.595728663888707
20:,140.0,0.85,sp1_140_0_sp2_0_85.erg,0.0,1.8785006690953288
21:,160.0,0.35,sp1_160_0_sp2_0_35.erg,0.42467826366424566,0.738972869045712
22:,160.0,0.475,sp1_160_0_sp2_0_48.erg,0.2603209590911866,1.0012210038956026
23:,160.0,0.6,sp1_160_0_sp2_0_6.erg,0.09617537021636968,1.311605421713019
24:,160.0,0.725,sp1_160_0_sp2_0_72.erg,0.0,1.5836960241529807
25:,160.0,0.85,sp1_160_0_sp2_0_85.erg,0.0,1.8578454457302773
26:,180.0,0.35,sp1_180_0_sp2_0_35.erg,0.4136920547485352,0.7344914152432741
27:,180.0,0.475,sp1_180_0_sp2_0_48.erg,0.24565773963928228,0.994076520413828
28:,180.0,0.6,sp1_180_0_sp2_0_6.erg,0.07718914508819585,1.304557094620401
29:,180.0,0.725,sp1_180_0_sp2_0_72.erg,0.0,1.5769563646268914
30:,180.0,0.85,sp1_180_0_sp2_0_85.erg,0.0,1.8464685471146214
